ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
1,日清,カップ,カップヌードル,あり,78,65,351,10.5,14.6,44.5,2.4,2.5,0.19,0.32,105
2,日清,カップ,カップヌードル カレー,あり,87,60,422,9.0,20.4,50.6,2.2,2.2,0.21,0.20,108
3,日清,カップ,カップヌードル シーフードヌードル,あり,75,60,340,8.9,13.6,45.5,2.2,2.5,1.01,0.31,96
4,日清,カップ,カップヌードル チリトマトヌードル,あり,76,60,354,8.4,15.4,45.5,1.7,2.3,1.45,0.25,96
5,日清,カップ,カップヌードル しお,あり,77,60,364,8.5,16.8,44.6,2.2,2.8,0.89,0.25,98
6,日清,カップ,カップヌードル 欧風チーズカレー,あり,85,60,420,8.8,21.9,46.9,2.1,2.3,0.21,0.25,124
7,日清,カップ,カップヌードル 味噌,あり,82,60,385,9.1,18.1,46.5,2.1,2.8,0.19,0.26,171
8,日清,カップ,カップヌードル 辛麺,あり,82,60,379,9.1,17.0,47.4,2.7,3.0,0.74,0.29,106
9,日清,カップ,カップヌードル にんにく豚骨,あり,79,60,382,8.1,19.1,44.3,2.3,2.3,0.63,0.21,95
10,日清,カップ,カップヌードル パクチー香るトムヤムクン,あり,75,60,354,7.8,16.0,44.6,1.7,3.3,0.94,0.24,83
11,日清,カップ,カップヌードル 魚介仕立てのペペロンチーノ,あり,71,60,322,7.7,13.6,42.3,1.8,2.3,0.57,0.24,90
12,日清,カップ,カップヌードル ポルチーニ香るきのこポタージュ,あり,79,60,386,7.7,18.5,47.1,1.9,2.3,0.19,0.22,107
13,日清,カップ,カップヌードル 甘辛コチュジャンのチーズタッカルビ味,あり,84,60,396,9.3,18.3,48.6,2.8,2.8,0.19,0.25,104
14,日清,カップ,カップヌードル ガーリックチーズフォンデュ味,あり,84,60,384,7.8,15.9,52.3,2.3,2.3,0.17,0.21,111
15,日清,カップ,カップヌードル 海老の濃厚トマトクリーム,あり,79,60,377,7.6,17.3,47.6,2.3,2.3,0.18,0.23,96
16,日清,カップ,カップヌードルソルトオフ,あり,79,65,372,9.3,17.0,47.6,1.4,1.8,0.19,0.32,106
17,日清,カップ,カップヌードルPRO 高たんぱく&低糖質,あり,74,60,274,15.2,16.8,35.4,2.1,2.7,0.22,0.40,105
18,日清,カップ,カップヌードルPRO 高たんぱく&低糖質 シーフードヌードル,あり,78,60,298,15.2,18.1,38.4,1.7,2.8,0.58,0.40,107
19,日清,カップ,カップヌードルPRO 高たんぱく&低糖質 チリトマトヌードル,あり,79,60,303,15.7,17.9,38.8,1.5,2.2,0.87,0.36,112
20,日清,カップ,あっさりおいしいカップヌードル,あり,57,50,263,6.6,11.2,34.0,1.4,2.5,0.15,0.20,75
21,日清,カップ,あっさりおいしいカップヌードル カレー,あり,70,50,344,6.5,17.4,40.3,1.3,2.4,0.17,0.21,87
22,日清,カップ,あっさりおいしいカップヌードル シーフード,あり,60,50,276,6.5,11.5,36.7,1.2,2.6,0.73,0.20,70
23,日清,カップ,おだしがおいしいカップヌードル 肉だしうどん,あり,63,50,295,5.9,13.3,37.9,1.4,3.0,0.22,0.28,93
24,日清,カップ,おだしがおいしいカップヌードル 鶏南蛮そば,あり,63,50,285,7.3,11.8,37.3,1.5,3.0,0.25,0.25,108
25,日清,カップ,カップヌードル ミニ,あり,36,30,163,5.0,6.3,21.8,1.0,1.4,0.08,0.10,48
26,日清,カップ,カップヌードルカレー ミニ,あり,43,30,207,4.4,9.4,26.4,1.0,1.1,0.11,0.11,55
27,日清,カップ,カップヌードル シーフードヌードル ミニ,あり,38,30,167,4.9,5.8,23.9,1.1,1.3,0.54,0.11,48
28,日清,カップ,カップヌードル 味噌 ミニ,あり,41,30,191,4.8,8.6,23.7,1.1,1.5,0.10,0.13,86
29,日清,カップ,カップヌードル 牛骨コムタン ビッグ,あり,98,80,457,11.7,20.3,56.9,2.7,3.4,0.60,0.29,126
30,日清,カップ,カップヌードル 激辛味噌 ビッグ,あり,108,80,499,11.6,21.6,64.6,2.8,3.6,0.26,0.35,204
31,日清,カップ,カップヌードル ビッグ,あり,101,85,457,12.7,18.4,60.2,3.0,3.4,0.22,0.35,142
32,日清,カップ,カップヌードル シーフードヌードル ビッグ,あり,104,85,477,11.9,20.2,61.8,2.9,3.5,1.01,0.34,135
33,日清,カップ,カップヌードルカレー ビッグ,あり,120,85,588,12.5,29.7,67.7,2.9,2.8,0.30,0.31,156
34,日清,カップ,カップヌードル チリトマトヌードル ビッグ,あり,107,85,487,12.1,19.4,65.9,2.2,2.9,1.93,0.39,145
35,日清,カップ,カップヌードル ねぎ塩カルビ ビッグ,あり,97,80,451,11.3,20.3,55.8,3.5,4.0,0.91,0.33,129
36,日清,カップ,カップヌードル スモークベーコンカリー ビッグ,あり,102,80,481,9.3,22.7,59.8,2.8,3.5,0.23,0.28,124
37,日清,カップ,カップヌードル スタミナ醤油 ビッグ,あり,105,80,492,11.5,21.6,62.8,2.8,3.5,0.23,0.34,133
38,日清,袋,日清ラ王 醤油,あり,101,80,346,8.4,7.7,60.8,2.4,4.1,0.20,0.30,134
39,日清,袋,日清ラ王 味噌,あり,99,80,332,8.7,5.3,62.3,2.0,3.8,0.13,0.19,127
40,日清,袋,日清ラ王 柚子しお,あり,93,80,314,6.8,5.2,59.9,2.0,3.4,0.21,0.30,119
41,日清,袋,日清ラ王 担々麺,あり,95,80,359,8.6,8.2,62.8,2.0,3.5,0.18,0.20,189
42,日清,袋,日清ラ王 豚骨醤油,あり,100,80,333,8.4,6.4,60.4,2.2,3.2,0.25,0.33,142
43,日清,袋,日清ラ王 ちゃんぽん,あり,91,80,329,7.8,4.6,64.2,2.2,2.9,0.22,0.26,139
44,日清,袋,日清ラ王 冷し中華 醤油だれ,なし,118,80,344,7.9,3.5,70.2,6.4,,0.20,0.28,136
45,日清,袋,日清豚ラ王 アブラ、ニンニク、ショウユ,あり,133,80,439,11.8,15.9,62.1,2.4,7.1,0.30,0.39,263
46,日清,カップ,完全メシ 豚辛ラ王 油そば,なし,121,90,466,20.2,13.2,70.8,3.0,,1.80,1.90,323
47,日清,カップ,日清ドロラ王 ドロ、コッテリ、鶏白湯,あり,125,80,453,13.9,12.1,72.1,2.7,3.5,0.28,0.34,320
48,日清,カップ,日清ラ王 背脂醤油,あり,112,75,412,11.5,13.4,61.4,2.2,4.1,0.22,0.32,139
49,日清,カップ,日清ラ王 濃厚味噌,あり,118,75,422,11.0,11.2,69.2,2.6,3.9,0.24,0.29,165
50,日清,カップ,日清ラ王 麻辣担々,あり,125,75,472,12.1,17.2,67.3,2.4,4.5,0.28,0.39,219
51,日清,カップ,日清ラ王 汁なし担々麺,なし,121,80,501,9.4,19.8,71.3,5.0,,0.24,0.33,206
52,日清,カップ,日清焼そばU.F.O. 濃い濃い魚介豚骨醤油まぜそば,なし,111,85,482,10.7,20.4,63.9,4.9,,0.39,0.42,285
53,日清,カップ,日清焼そばU.F.O.,なし,128,100,556,9.4,20.9,82.6,5.9,,0.47,0.69,167
54,日清,カップ,日清焼そばU.F.O. 濃い濃いたらこ,なし,103,90,477,8.8,20.0,65.4,4.8,,0.42,0.61,146
55,日清,カップ,日清焼そばU.F.O. 濃い濃いだしソース焼そば,なし,113,90,506,8.8,22.4,67.4,4.8,,0.42,0.60,148
56,日清,カップ,日清焼そばU.F.O. 濃い濃いラー油マヨ付き醤油まぜそば,なし,112,85,539,8.0,29.3,60.7,4.5,,0.35,0.49,145
57,日清,カップ,日清焼そばU.F.O.ペロリ かつお節香るだしソース,なし,74,65,320,5.6,10.7,50.4,4.6,,0.24,0.40,109
58,日清,カップ,日清焼そばU.F.O.ペロリ バター香るたらこ味,なし,70,65,295,6.6,8.3,48.4,4.4,,0.22,0.44,93
59,日清,カップ,日清焼そばプチU.F.O.,なし,63,50,278,4.5,10.8,40.7,2.4,,0.24,0.30,95
60,日清,カップ,日清焼そばU.F.O.大盛,なし,167,130,714,12.4,26.3,107.1,7.6,,0.62,0.85,218
61,日清,カップ,日清焼そばU.F.O. 大盛 豚×辛 ,なし,168,130,794,14.0,38.7,97.5,6.8,,0.57,0.75,226
62,日清,袋,チキンラーメン,あり,85,85,377,8.2,14.5,53.6,2.3,3.3,0.61,0.74,278
63,日清,袋,チキンラーメン Mini,あり,20,20,91,2.1,4,11.7,0.5,1.2,0.19,0.19,36
64,日清,袋,お椀で食べるチキンラーメン,あり,31,30,142,3.4,5.6,19.4,0.8,1.3,0.24,0.33,42
65,日清,袋,チキンラーメンキャベサラダ あっさり香味醤油味,なし,40,30,197,3.5,11.3,20.2,2.1,,0.27,0.3,43
66,日清,袋,チキンラーメンもやサラダ こく旨ごま味噌味,なし,44,30,206,3.9,11.7,21.3,2.9,,0.25,0.34,46
67,日清,袋,チキンラーメン豆腐サラダ 鶏旨しおだれ味,なし,40,30,186,3.2,10.3,20,2.8,,0.26,0.34,45
68,日清,袋,0秒チキンラーメン,なし,75,75,362,7.1,16.3,46.7,2.2,,0.61,0.83,286
69,日清,カップ,チキンラーメンどんぶり,あり,85,80,386,9.6,14.9,53.3,2.3,3,0.26,0.4,132
70,日清,カップ,チキンラーメンの油そば,あり,100,80,477,8.9,26.1,51.5,5.7,,0.13,0.17,131
71,日清,カップ,チキンラーメンどんぶりミ,あり,38,36,177,4.1,7.5,23.2,1.1,1.4,0.13,0.18,59
72,日清,袋,お椀で食べるどん兵衛 ゆず仕立てうどん,あり,30,28,141,2.6,6,19.1,0.7,1.4,0.04,0.04,46
73,日清,袋,お椀で食べるどん兵衛 カレーうどん,あり,33,28,154,3,6.5,20.9,0.8,1.3,0.11,0.07,56
74,日清,袋,お椀で食べるどん兵衛 ゆず香る鯛だしおそうめん,あり,32,28,146,3.1,5.9,20.1,0.8,1.2,0.06,0.08,57
75,日清,カップ,日清の汁なしどん兵衛 豚ニンニクまぜうどん,なし,97,74,435,7.3,20.7,54.9,3.9,,0.21,0.26,135
76,日清,カップ,日清のどん兵衛 きつねうどん [東],あり,96,74,421,9.9,17.4,56.1,1.7,3.3,0.2,0.22,203
77,日清,カップ,日清のどん兵衛 きつねうどん [西],あり,95,74,413,9.1,17.1,55.7,1.6,3.6,0.19,0.18,214
78,日清,カップ,日清のどん兵衛 天ぷらそば [東],あり,100,72,487,9.9,24.3,57.2,1.5,3.9,0.28,0.29,145
79,日清,カップ,日清のどん兵衛 天ぷらそば [西],あり,100,72,486,10.3,24.6,55.9,1.5,4,0.24,0.25,149
80,日清,カップ,日清のどん兵衛 鴨だしそば,あり,105,72,412,10.6,18.9,49.8,1.7,4.5,0.32,0.38,123
81,日清,カップ,日清のどん兵衛 かき揚げ天ぷらうどん,あり,97,70,458,8,21,59.2,1,3.3,0.18,0.22,175
82,日清,カップ,日清のどん兵衛 肉うどん,あり,87,70,388,7.5,15.6,54.4,1.1,3.8,1.23,0.26,158
83,日清,カップ,日清のどん兵衛 きつねそば,あり,89,66,400,11.7,16.3,51.6,1.7,3.7,0.23,0.27,155
84,日清,カップ,日清のどん兵衛 カレーうどん,あり,87,66,382,8,14.4,55,2.3,3.4,0.89,0.25,170
85,日清,カップ,日清のどん兵衛 鶏白湯うどん,あり,85,66,416,7.7,21,49,1.5,3,0.25,0.34,179
86,日清,カップ,日清のどん兵衛 赤鬼紅生姜天そば,あり,91,66,449,8.6,23.3,51.1,2.1,3.1,0.26,0.24,134
87,日清,カップ,日清のどん兵衛 豚汁うどん,あり,98,66,401,8.3,17.3,53.1,1.3,3.7,0.29,0.34,150
88,日清,カップ,日清のどん兵衛 シビ辛麻辣うどん,あり,83,66,390,7.8,18.7,47.7,1.5,4,0.48,0.23,162
89,日清,カップ,日清の最強どん兵衛 きつねうどん,あり,93,66,410,9.8,17.2,53.9,2.5,3.6,0.17,0.21,203
90,日清,カップ,日清の最強どん兵衛 かき揚げそば,あり,101,66,494,10,25.7,55.7,2,4.5,0.3,0.32,154
91,日清,カップ,日清のどんどん兵衛 沖縄風そば,あり,79,66,348,7.5,13.9,48.2,2.1,3.3,0.23,0.27,124
92,日清,カップ,日清のどん兵衛 きつね焼うどん,なし,105,90,463,8.4,20.6,61.1,3.5,,0.24,0.29,191
93,日清,カップ,日清の汁なしどん兵衛 釜たま風うどん,なし,106,74,466,6.1,23,58.7,2.9,,0.28,0.33,168
94,日清,カップ,日清のどん兵衛 きつねうどんソルトオフ,あり,96,74,437,9.5,18.6,57.8,1.3,2.2,0.16,0.2,201
95,日清,カップ,日清のあっさりおだしがおいしいどん兵衛 きざみ揚げうどん,あり,68,60,302,5.7,13,40.5,1.4,2.9,0.14,0.16,117
96,日清,カップ,日清のあっさりおだしがおいしいどん兵衛 揚げ玉そば,あり,70,57,315,7.4,13.2,41.7,1.8,2.8,0.22,0.21,107
97,日清,カップ,日清のあっさりおだしがおいしいどん兵衛 肉だしうどん,あり,72,60,323,5.8,13.5,44.5,1.5,3.1,0.36,0.2,116
98,日清,カップ,日清のあっさりおだしがおいしいどん兵衛 温つゆおそうめん,あり,69,60,309,7.2,12.2,42.5,1.6,3.4,0.12,0.15,134
99,日清,カップ,日清のあっさりおだしがおいしいどん兵衛 旨だしカレーうどん,あり,74,60,332,6.3,14.1,45,1.8,2.9,0.51,0.23,126
100,日清,カップ,北のどん兵衛 きつねうどん [北海道],あり,94,76,415,9,17.1,56.3,1.7,3.2,0.2,0.22,187
101,日清,カップ,北のどん兵衛 天ぷらそば [北海道],あり,100,72,482,10,23.1,58.4,1.8,3.8,0.25,0.26,148
102,日清,カップ,北のどん兵衛 鴨だしそば [北海道],あり,94,66,370,9.8,16.2,46.2,1.5,4,0.29,0.33,115
103,日清,カップ,北のどん兵衛 きつねそば [北海道],あり,92,74,413,11,17,54,1.8,3.3,0.25,0.25,143
104,日清,カップ,北のどん兵衛 天ぷらうどん [北海道],あり,95,70,446,7.4,20.9,57,1.3,3.1,0.19,0.18,184
105,日清,カップ,北のどん兵衛 カレーうどん [北海道],あり,86,66,378,7.6,14.1,55.2,1.7,3.6,0.68,0.26,176
106,日清,カップ,日清のどん兵衛 きつねうどんミニ [東],あり,42,33,193,3.9,9.3,23.3,0.8,1.7,0.09,0.09,65
107,日清,カップ,日清のどん兵衛 きつねうどんミニ [西],あり,42,33,195,4.2,9.2,23.8,0.9,1.9,0.11,0.11,66
108,日清,カップ,日清のどん兵衛 天ぷらそばミニ [東],あり,46,33,224,4.6,11.2,26.1,1.1,1.7,0.12,0.11,72
109,日清,カップ,日清のどん兵衛 天ぷらそばミニ [西],あり,46,33,223,4.6,11.1,26.1,1,1.8,0.13,0.11,69
110,日清,カップ,日清のどん兵衛 鴨だしそばミニ,あり,46,33,181,4.7,7.9,22.8,0.8,2.1,0.15,0.17,59
111,日清,カップ,日清のどん兵衛 温つゆおそうめんミニ,あり,35,30,166,3.8,7.5,20.8,0.6,1.8,0.07,0.08,72
112,日清,カップ,日清のどん兵衛 肉うどんミニ,あり,40,33,189,3.3,8.5,24.7,0.6,1.7,0.51,0.1,54
113,日清,カップ,日清のどん兵衛 旨辛チゲうどんミニ,あり,39,33,183,3.3,8.4,23.5,0.9,2.2,0.22,0.27,58
114,日清,カップ,日清のどん兵衛 特盛きつねうどん [東],あり,131,101,565,13.2,22.9,76.5,2.4,5.1,0.24,0.23,307
115,日清,カップ,日清のどん兵衛 特盛きつねうどん [西],あり,130,101,560,12.6,22.2,77.4,2.4,5.2,0.25,0.24,257
116,日清,カップ,日清のどん兵衛 特盛天ぷらそば [東],あり,143,100,709,13.9,36.3,81.6,2.7,4.5,0.35,0.33,239
117,日清,カップ,日清のどん兵衛 特盛天ぷらそば [西],あり,142,100,700,14.4,35.4,81,2.7,4.6,0.32,0.3,227
118,日清,カップ,日清のどん兵衛 特盛かき揚げ天ぷらうどん,あり,138,100,652,11.2,29.4,85.7,1.7,4.1,0.24,0.27,215
119,日清,カップ,日清のスタミナどん兵衛 豚ニンニク味噌うどん,あり,96,70,439,8.1,19,58.8,2.5,4.4,0.37,0.4,136
120,日清,カップ,日清のスタミナどん兵衛 辛豚ニンニクうどん,あり,96,70,437,7.9,18.9,58.9,2.7,4.6,0.27,0.32,138
121,エースコック,カップ,じわとろ　ガリバタチキン味醤油ラーメン,あり,88,70,386,7.9,15.9,52.8,1.1,5.7,0.36,0.43,243
122,エースコック,カップ,わかめラーメン　あの頃の初恋風味　梅しお味,あり,69,60,286,6.5,9.7,44.5,1.7,3.8,0.27,0.32,243
123,エースコック,カップ,わかめラーメン　あの頃の青春風味　柚子しょうゆ味,あり,69,60,288,6.6,10.1,44.1,1.7,3.6,0.28,0.31,221
124,エースコック,カップ,ＣｏＣｏ壱番屋監修　スパイスの刺激　赤カレー焼そば,なし,116,90,487,8.7,20.2,69.4,4,,0.72,0.48,307
125,エースコック,カップ,ＣｏＣｏ壱番屋監修　ビーフの旨み　黒カレーラーメン,あり,92,78,381,8.8,12.1,61.3,1.2,4,0.51,0.43,301
126,エースコック,カップ,タテロング　サンキューわかめラーメン　具だくさん　しょうゆ,あり,91,70,361,9.9,13,54.2,2.2,3.8,0.37,0.46,353
127,エースコック,カップ,スーパーカップ１．５倍　ベビースターラーメン　チキン味,あり,100,90,432,11.6,15.2,62.3,2.1,4.7,0.47,0.57,315
128,エースコック,カップ,（コンビニ限定）スーパーカップ大盛り　いか焼そば,なし,167,130,673,12.7,23.2,103.4,6.9,,0.63,0.75,494
129,エースコック,カップ,ありそうでなかった天津麺　塩,あり,60,50,263,5.6,10,37.6,1.7,2.6,0.24,0.27,188
130,エースコック,カップ,ありそうでなかった天津麺　醤油,あり,59,50,260,5.4,9.6,37.9,1,2,0.23,0.26,210
131,エースコック,カップ,元祖カレータンタン麺　征虎　カレータンタン麺,あり,93,70,371,8.6,10.6,60.3,1.7,4.1,0.35,0.43,286
132,エースコック,カップ,スーパーカップ豚キムチラーメンが転生したら焼そばになった,なし,106,90,506,8.4,23.5,65.3,4.1,,0.34,0.42,322
133,エースコック,カップ,スーパーカップしょうゆラーメンが転生したら焼そばになった,なし,113,90,494,8.7,20.7,68.3,4.4,,0.38,0.43,322
134,エースコック,カップ,スーパーカップ１．５倍　鶏白湯の神　濃厚鶏白湯麺,あり,127,90,534,10.5,23.2,70.7,1.8,5.3,4.74,0.45,467
135,エースコック,カップ,タテ型　飲み干す一杯　東京荻窪　煮干中華そば,あり,66,55,287,6.2,11.2,40.3,1.1,3,0.36,0.4,234
136,エースコック,カップ,タテ型　飲み干す一杯　博多　背脂とんこつラーメン,あり,66,50,336,7.2,19.9,31.9,0.7,2.5,0.22,0.27,211
137,エースコック,カップ,タテ型　飲み干す一杯　名古屋　台湾ラーメン,あり,67,55,283,6.8,10.5,40.3,1.3,3.6,0.35,0.4,231
138,エースコック,カップ,タテ型　飲み干す一杯　京都　背脂醤油ラーメン,あり,68,55,318,6,15.6,38.4,0.9,3.1,0.33,0.38,220
139,エースコック,カップ,タテ型　飲み干す一杯　仙台　辛味噌ラーメン,あり,67,55,283,7.1,9.8,41.5,1,2.4,0.29,0.34,180
140,エースコック,カップ,タテ型　飲み干す一杯　横浜　豚骨醤油ラーメン,あり,68,55,303,6,12.6,41.5,1,2.5,0.26,0.33,174
141,エースコック,カップ,タテ型　飲み干す一杯　札幌　海老味噌ラーメン,あり,67,55,284,6.4,9.8,42.6,1.1,2.5,0.35,0.33,188
142,エースコック,カップ,タテ型　飲み干す一杯　尾道　背脂醤油ラーメン,あり,67,55,298,6.2,13.3,38.4,1.2,3.5,0.35,0.39,220
143,エースコック,カップ,濃い味好きのための　濃厚チーズカレー味ラーメン,あり,96,70,409,7.8,15,60.8,1.9,4.7,0.53,0.45,292
144,エースコック,カップ,塩焼そばモッチッチ　ふわり鰹だし,なし,97,85,404,8.1,13.2,63.1,4.1,,,,232
145,エースコック,カップ,焼そばモッチッチ,なし,99,85,399,8.2,12.2,64.2,4.4,,,,221
146,エースコック,カップ,一度は食べたい名店の味ＰＲＥＭＩＵＭ　ぜんや 黄金色の塩ラーメン,あり,101,65,314,9.6,7.3,52.5,1.6,5.5,,,233
147,エースコック,カップ,スーパーカップ１．５倍　野菜タンメン,あり,108,90,448,9,12.9,73.9,2.3,4.6,0.37,0.48,356
148,エースコック,カップ,スーパーカップ１．５倍　豚キムチラーメン,あり,107,90,465,9.1,17.1,68.6,1.7,5,0.38,0.43,315
149,エースコック,カップ,みんテレ×スーパーカップ１．５倍　森本稀哲考案　海老だし塩ラーメン,あり,120,90,447,9.7,16.1,65.8,1.8,4.5,0.4,0.49,378
150,エースコック,カップ,タテロング　飲み干す一杯　贅沢担担麺,あり,103,70,510,12.9,27.9,51.8,1.5,3.6,0.39,0.47,398
151,エースコック,カップ,スーパーカップ大盛り　鬼辛焼そばＲＥＤ,なし,173,130,717,13.3,28.9,100.9,6.6,,0.71,0.77,434
152,エースコック,カップ,タテ型　飲み干す一杯　鴨だし中華そば,あり,72,55,293,6.3,11.6,40.8,1.3,2.5,,,16
153,エースコック,カップ,タテ型　飲み干す一杯　味噌バター味ラーメン,あり,67,55,308,5.9,13.5,40.8,1.1,3,0.42,0.24,171
154,エースコック,カップ,タテ型　飲み干す一杯　担担麺,あり,76,55,333,9.5,14.5,41,1.6,3,0.34,0.29,273
155,エースコック,カップ,カレーヌードル,あり,69,50,324,5.7,15,41.6,1.5,2.6,0.23,0.29,253
156,エースコック,カップ,シュリンプヌードル,あり,56,50,242,5.9,8.3,35.8,1.4,2.4,0.22,0.28,231
157,エースコック,カップ,ロカボデリ　リンガーハットの長崎ちゃんぽん　糖質オフ,あり,85,57,290,10.1,10.5,44.3,1.7,4.4,,,
158,エースコック,カップ,ロカボデリ　ＣｏＣｏ壱番屋監修カレーラーメン　糖質オフ,あり,72,57,219,10.2,3.2,46.4,1.9,3.6,,,
159,エースコック,袋,（袋）ワンタンメン　豚骨しょうゆ,あり,94,88,441,9.5,20.5,54.5,1.3,3.7,0.51,0.51,320
160,エースコック,袋,（袋）ワンタンメン,あり,95,88,430,9.7,17.9,57.5,2.3,4.3,0.57,0.59,375
161,エースコック,カップ,スーパーカップ大盛り　いか天ふりかけ焼そば,なし,161,130,655,11.3,23.7,99,6.6,,0.67,0.71,477
162,エースコック,袋,（袋）ハノイのおもてなし　トムヤムフォー,あり,47,40,161,4.2,0.2,35.5,0.6,2.5,,,
163,エースコック,袋,（袋）ハノイのおもてなし　鶏だしフォー,あり,48,40,175,3.3,2.7,34.4,0.8,3,,,
164,エースコック,カップ,ミニわかめラーメン　ごま・しょうゆ,あり,38,30,162,3.6,6,24.2,0.8,1.7,0.19,0.21,135
165,エースコック,カップ,わかめラーメン　ごま・みそ,あり,78,64,342,6.6,15.4,46.1,1.5,3.9,0.29,0.3,227
166,エースコック,カップ,わかめラーメン　ごま・しょうゆ,あり,93,64,342,8.5,13.9,47.8,1.8,4.2,0.32,0.39,301
167,エースコック,袋,（袋）わかめラーメン　ごま・しょうゆ,あり,88,80,380,8.1,15,54.4,1.6,3.9,0.49,0.44,297
168,エースコック,カップ,スーパーカップMAX　とんこつラーメン,あり,120,100,541,14.4,24.1,66.7,2.6,4,0.44,0.6,559
169,エースコック,カップ,スーパーカップMAX　みそラーメン,あり,138,100,543,12.3,19.3,79.9,2.3,5.2,0.47,0.58,368
170,エースコック,カップ,スーパーカップMAX　しょうゆラーメン,あり,119,100,522,10.2,20.7,73.7,2.6,4.6,0.47,0.53,340
171,エースコック,カップ,もちもちラーメン,あり,112,60,364,7.6,10,61,1.5,4.3,0.29,0.46,235
172,エースコック,カップ,力うどん,あり,99,60,358,7.6,10.2,59,1.7,3.7,0.27,0.3,206
173,エースコック,カップ,勝浦タンタンメン,あり,98,60,356,8,12,54.1,1.5,5.2,,,265
174,エースコック,カップ,どっさり野菜　塩タンメン,あり,60,45,242,5.2,6.8,41.1,1.3,2.6,0.24,0.24,175
175,エースコック,カップ,どっさり野菜　ちゃんぽん,あり,61,45,261,5.8,8.8,40.7,0.9,2.4,0.23,0.25,163
176,エースコック,カップ,ミニワンタンメン　タンメン味,あり,39,30,166,3.6,5.6,25.2,0.7,1.7,0.1,0.14,121
177,エースコック,カップ,ワンタンメンどんぶり　タンメン味,あり,79,64,336,7.3,11.7,50.4,1.6,4.1,0.26,0.31,252
178,エースコック,カップ,ベビースターラーメン　カップめん　ピリ辛チキン味,あり,54,50,224,6.6,6.9,33.9,1.5,3,0.27,0.34,197
179,エースコック,カップ,ベビースターラーメン　カップめん　チキン味,あり,54,50,225,6.5,7.2,33.5,1.3,3.2,0.27,0.36,224
180,エースコック,カップ,まる旨　豚骨ラーメン,あり,58,50,261,5.2,10.4,36.7,0.9,2.1,0.29,0.29,178
181,エースコック,カップ,まる旨　味噌ラーメン,あり,59,50,250,5.9,8.3,37.9,1.3,2.5,0.3,0.27,165
182,エースコック,カップ,まる旨　ワンタン中華そば,あり,58,50,253,5.3,9.3,36.9,1,2.4,0.25,0.29,182
183,エースコック,カップ,まる旨　柚子香るそうめん,あり,50,45,222,5.5,9,29.8,1,2.5,,,167
184,エースコック,カップ,まる旨　カレーうどん,あり,65,50,302,5.1,14.3,38.3,1,2.3,0.19,0.25,133
185,エースコック,カップ,まる旨　小海老天そば,あり,57,50,256,7,10,34.4,0.9,2.3,0.27,0.26,147
186,エースコック,カップ,まる旨　きつねうどん,あり,59,50,253,5.1,8.9,38.2,1.4,2.4,0.21,0.25,126
187,エースコック,カップ,ＥＤＧＥ　濃厚たらこ味焼そば,なし,113,90,492,10.3,19.9,68,4.6,,0.4,0.45,328
188,エースコック,カップ,だしの旨みで減塩　中華そば,あり,43,30,170,3.8,7.2,22.6,0.4,1.2,0.11,0.12,118
189,エースコック,カップ,だしの旨みで減塩　小海老天そば,あり,42,30,169,5.2,7,21.4,0.4,1.2,0.1,0.11,71
190,エースコック,カップ,だしの旨みで減塩　鶏炊きうどん,あり,45,30,190,4.1,8.9,23.3,0.4,1.1,0.1,0.12,99
191,エースコック,カップ,(コンビニ限定）スーパーカップ１．５倍　ブタキムラーメン,あり,113,90,487,10.1,18.7,70.9,2.5,5.4,0.55,0.58,270
192,エースコック,カップ,タテロング　リンガーハットの長崎ちゃんぽん,あり,95,70,375,8.1,12.7,58,1.3,4.9,0.27,0.3,201
193,エースコック,カップ,うまさぎっしり新潟　新潟麻婆麺,あり,65,50,274,5.6,10.7,38.9,1.7,2.3,0.55,0.27,198
194,エースコック,カップ,うまさぎっしり新潟　妙高とん汁ラーメン,あり,58,50,252,6.1,8.8,37.2,1.1,2.3,0.33,0.26,168
195,エースコック,カップ,うまさぎっしり新潟　うんめぇ　三条カレーラーメン,あり,62,50,267,5.9,8.9,40.8,1.3,2.7,0.28,0.27,166
196,エースコック,カップ,スーパーカップミニ　野菜ちゃんぽん,あり,42,30,172,3.7,4.6,29,0.4,2.2,0.14,0.17,116
197,エースコック,カップ,一度は食べたい名店の味ミニ　ぜんや　ホタテだし塩ラーメン,あり,42,30,158,3.7,6,22.2,0.5,2.3,0.16,0.18,102
198,エースコック,カップ,大吉　焼豚しょうゆ,あり,71,60,293,7.2,9.9,43.7,1.4,4.8,0.38,0.44,231
199,エースコック,カップ,スーパーカップミニ　もやしみそラーメン,あり,51,30,193,4.5,7.1,2.7,0.7,2.4,0.16,0.21,99
200,サンヨー食品,袋,サッポロ一番　しょうゆ味,あり,100,92,457,9.9,18,63.9,1.5,4.3,0.33,0.58,233
201,サンヨー食品,袋,サッポロ一番　みそラーメン,あり,100,90,448,10.3,17.2,62.9,1.9,3.9,0.33,0.58,217
202,サンヨー食品,袋,サッポロ一番　塩らーめん,あり,100,91,455,10.1,18.6,61.9,2.2,3.9,0.33,0.58,243
