ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
352,東洋水産,カップ,麺屋 彩未 札幌味噌らーめん,あり,126,75,453,12.9,14.9,66.9,1.6,4.7,0.3,0.39,164
353,東洋水産,カップ,Ramen FeeL 塩ラーメン,あり,92,70,424,9.9,21.2,48.5,2.2,4.1,0.35,0.33,147
354,東洋水産,カップ,日本うまいもん 青森津軽煮干しラーメン 激にぼ,あり,110,70,353,12.8,8.1,57.1,1.5,4.6,0.24,0.36,220
355,東洋水産,カップ,日本うまいもん 青森味噌カレーミルクラーメン,あり,130,70,442,12.6,14.8,64.6,1.9,5.3,0.25,0.3,208
356,東洋水産,カップ,尾道ラーメン,あり,118,80,534,11.7,28.4,57.9,2.3,4.3,0.35,0.31,186
357,東洋水産,カップ,バリうま　熊本風黒とんこつラーメン,あり,95,70,459,11.4,24.6,48.1,1.9,3.6,0.3,0.3,171
358,東洋水産,カップ,バリうま 長崎ちゃんぽん,あり,86,65,381,8.4,16.3,50.1,1.5,3.8,0.29,0.29,155
359,東洋水産,カップ,バリうま　宮崎風旨辛麺,あり,90,70,442,9.5,23.3,48.5,1.8,2.7,0.34,0.45,144
360,東洋水産,カップ,激めん　ワンタンメン,あり,92,60,388,8.7,18.3,47.1,1.5,3.7,2.38,0.27,129
361,東洋水産,カップ,激めんワンタンメン スタミナ旨辛醤油,あり,97,60,416,10.4,22.5,42.9,1.9,2.5,0.28,0.37,126
362,東洋水産,カップ,激めんワンタンメン　えびみそ味,あり,104,60,424,10.3,21.5,47.2,0.8,4.5,0.25,0.31,125
363,東洋水産,カップ,まめ激めんワンタンメン,あり,37,30,176,3.1,8.7,21.4,0.7,1.5,1.24,0.13,63
364,東洋水産,カップ,ミニ和歌山ラーメン,あり,37,30,166,3.3,7.9,20.5,0.8,1.7,0.13,0.14,74
365,東洋水産,カップ,黄色いまめ博多ラーメン,あり,37,30,171,4,8.7,19.2,0.9,1.5,0.13,0.13,70
366,東洋水産,カップ,ごつ盛り　ワンタン醤油ラーメン,あり,117,90,517,12.5,25,60.4,2,4.2,0.37,0.36,222
367,東洋水産,カップ,ごつ盛り　コーン味噌ラーメン,あり,138,90,579,13.5,31.5,60.3,1.7,5.1,0.42,0.41,235
368,東洋水産,カップ,ごつ盛り　豚骨醤油ラーメン,あり,122,90,543,12.1,28.8,58.8,2.1,5.5,0.37,0.36,207
369,東洋水産,カップ,ごつ盛り　コク豚骨ラーメン,あり,116,90,576,11.5,33.1,57.9,1.4,4.1,2.01,0.34,322
370,東洋水産,カップ,ごつ盛り　塩担々麺,あり,112,90,531,10.5,27.1,61.2,1.8,5.9,0.39,0.38,213
371,東洋水産,カップ,ごつ盛り　ちゃんぽん,あり,114,90,489,9.8,20.3,66.8,1.9,5.2,0.42,0.55,194
372,東洋水産,カップ,ごつ盛り 名古屋台湾ラーメン,あり,115,90,521,12.3,26.5,58.4,2.2,5.5,0.37,0.43,184
373,東洋水産,カップ,ホットヌードル　NEO　醤油,あり,69,60,306,8.6,12.5,39.8,1.8,2.3,0.32,0.28,117
374,東洋水産,カップ,ホットヌードル　NEO　はま塩,あり,70,60,306,9.1,11.8,40.8,1.6,2.6,0.29,0.28,133
